epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2152.11,1.02162,0.78936,1.52602,0.98337,0.98316,0.99335,0.75986,0.87469,0.52382,1.22891,0.000663366,0.000663366,0.000663366
2,3738.07,0.90553,0.52973,1.42275,0.98363,0.97862,0.99398,0.77959,0.84395,0.44607,1.22831,0.0012642,0.0012642,0.0012642
3,5252.35,0.89061,0.53325,1.39092,0.98981,0.9715,0.99174,0.79791,0.78862,0.46964,1.17937,0.00179903,0.00179903,0.00179903
4,6802.88,0.85299,0.50891,1.37478,0.99071,0.97862,0.99307,0.76952,0.8403,0.49281,1.23865,0.001703,0.001703,0.001703
5,8407.91,0.83774,0.49921,1.35315,0.98574,0.98536,0.9945,0.76096,0.87045,0.42546,1.24132,0.001604,0.001604,0.001604
6,9987.79,0.79554,0.47671,1.31985,0.97868,0.9905,0.9945,0.79014,0.79729,0.42964,1.1901,0.001505,0.001505,0.001505
7,11546.6,0.78344,0.46884,1.30907,0.98938,0.97862,0.99419,0.81761,0.72702,0.38187,1.12886,0.001406,0.001406,0.001406
8,13951.6,0.79327,0.4622,1.31446,0.99043,0.98298,0.99479,0.80028,0.75483,0.39799,1.18129,0.001307,0.001307,0.001307
9,15713.6,0.767,0.44816,1.29924,0.99044,0.98396,0.99474,0.81831,0.75133,0.37529,1.15374,0.001208,0.001208,0.001208
10,17395.2,0.76003,0.43666,1.29056,0.99386,0.98575,0.99483,0.81816,0.6953,0.38394,1.12602,0.001109,0.001109,0.001109
