epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.499,0.73014,0.41158,1.26937,0.99316,0.98575,0.99455,0.82631,0.70673,0.38539,1.13323,0.000660066,0.000660066,0.000660066
2,837.659,0.73617,0.42584,1.27433,0.99396,0.98337,0.99456,0.82163,0.74871,0.35771,1.13281,0.00126106,0.00126106,0.00126106
3,1254.5,0.75183,0.44416,1.27571,0.99518,0.98073,0.99058,0.81782,0.74344,0.42077,1.15299,0.00179605,0.00179605,0.00179605
4,1637.42,0.76373,0.44807,1.29792,0.99155,0.96437,0.99285,0.80326,0.8,0.41474,1.1728,0.001703,0.001703,0.001703
5,2047.31,0.76949,0.44824,1.28861,0.99353,0.981,0.99427,0.83181,0.6915,0.36219,1.10702,0.001604,0.001604,0.001604
6,2447.05,0.75226,0.44061,1.28161,0.98104,0.98337,0.99371,0.80407,0.75892,0.37894,1.14846,0.001505,0.001505,0.001505
7,2862.58,0.74889,0.42652,1.2778,0.99288,0.98812,0.99486,0.8392,0.66771,0.34421,1.08256,0.001406,0.001406,0.001406
8,3280.62,0.72733,0.41487,1.27022,0.98958,0.99287,0.99486,0.8223,0.71251,0.32832,1.11738,0.001307,0.001307,0.001307
9,3676.97,0.71951,0.41103,1.24928,0.993,0.981,0.99469,0.83958,0.69052,0.32214,1.09732,0.001208,0.001208,0.001208
10,4102.1,0.69813,0.3998,1.23641,0.98457,0.99287,0.99476,0.83727,0.67268,0.34941,1.08005,0.001109,0.001109,0.001109
